"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"719",592351,"Gray, Jon","0",,"0.249","0.191","0.268","0.440","0.295","0.283","0.247","60","241","88.6","7.4","2197","90.3","90.50","92","471","248","0.2","6.33","112","152","116","149","297","329","303"
"714",457918,"Happ, J.A.","0",,"0.317","0.284","0.323","0.601","0.390","0.379","0.311","77","243","91.8","19.2","2265","89.0","88.68","76","516","198","-0.3","6.06","103","154","116","148","299","330","296"
"709",669456,"Bieber, Shane","0",,"0.313","0.204","0.363","0.517","0.353","0.331","0.282","72","230","90.7","10.2","2405","87.7","87.85","101","463","246","0.2","6.53","112","156","117","149","293","322","295"
"701",605452,"Ross, Joe","0",,"0.268","0.222","0.287","0.490","0.319","0.329","0.281","64","239","88.1","11.2","2026","90.7","90.56","100","466","235","-0.1","6.59","111","156","122","144","305","323","296"
"693",607192,"Glasnow, Tyler","0",,"0.214","0.192","0.247","0.406","0.261","0.273","0.229","50","234","93.2","13.4","2545","93.0","94.54","118","473","220","1.5","7.36","107","159","116","150","301","321","294"
"693",571578,"Corbin, Patrick","0",,"0.302","0.258","0.276","0.560","0.364","0.401","0.331","75","248","91.5","10.3","2106","87.1","87.11","61","460","233","0.0","6.77","107","152","115","149","306","322","292"
"693",571927,"Matz, Steven","0",,"0.335","0.232","0.365","0.567","0.391","0.345","0.300","78","233","89.4","10.7","2189","89.9","90.01","72","439","254","0.1","6.42","106","154","118","148","294","317","286"
"687",664353,"Urquidy, José","0",,"0.242","0.203","0.257","0.445","0.292","0.305","0.256","55","227","88.6","20.9","2215","88.0","87.53","103","490","197","-0.5","6.03","114","157","119","152","292","327","294"
"685",571760,"Heaney, Andrew","0",,"0.325","0.249","0.352","0.574","0.379","0.362","0.293","64","197","91.4","18.4","2420","88.6","87.97","107","461","224","-0.6","6.11","111","157","116","149","303","326","296"
"683",677651,"Garcia, Luis","0",,"0.225","0.207","0.241","0.432","0.280","0.308","0.246","48","213","91.0","20.6","2286","88.3","87.89","95","438","245","-0.4","6.17","115","157","118","152","292","326","294"
"682",650644,"Civale, Aaron","0",,"0.237","0.228","0.234","0.465","0.295","0.321","0.274","57","241","89.8","10.7","2393","86.8","86.23","70","468","214","-0.6","5.75","114","154","118","150","295","322","297"
"677",605288,"Houser, Adrian","0",,"0.295","0.205","0.301","0.500","0.344","0.353","0.300","66","224","89.9","3.2","2049","90.1","90.48","52","451","226","0.4","6.47","107","151","114","148","299","321","294"
"676",621121,"McCullers Jr., Lance","0",,"0.228","0.142","0.263","0.371","0.257","0.263","0.237","53","232","92.5","7.7","2403","88.7","88.08","76","404","272","-0.6","6.00","112","156","118","151","290","325","292"
"676",572971,"Keuchel, Dallas","0",,"0.302","0.218","0.284","0.519","0.351","0.388","0.339","79","262","89.8","5.9","1949","84.1","84.06","59","436","240","0.0","6.09","110","151","115","148","298","319","293"
"676",527048,"Pérez, Martín","0",,"0.296","0.174","0.330","0.470","0.325","0.345","0.298","75","253","89.6","11.9","2069","88.6","87.64","64","436","240","-1.0","5.78","106","153","117","146","294","326","293"
"662",592767,"Smyly, Drew","0",,"0.306","0.273","0.288","0.579","0.372","0.379","0.312","66","216","90.7","17.1","2114","87.9","87.14","66","456","206","-0.8","5.78","107","150","121","147","304","318","290"
"661",593372,"Martínez, Carlos","0",,"0.285","0.179","0.291","0.463","0.320","0.380","0.321","70","246","91.4","9.8","2045","89.2","88.03","51","440","221","-1.2","5.61","115","155","114","148","295","315","297"
"661",622072,"Wood, Alex","0",,"0.263","0.178","0.288","0.441","0.299","0.313","0.271","56","213","91.7","10.1","2053","88.7","86.65","80","416","245","-2.1","6.25","110","153","114","149","300","320","289"
"657",605200,"Davies, Zach","0",,"0.266","0.167","0.265","0.433","0.301","0.364","0.317","62","233","89.6","10.6","1949","83.9","83.52","59","444","213","-0.4","6.13","111","156","115","150","296","322","294"
"656",453562,"Arrieta, Jake","0",,"0.310","0.259","0.306","0.569","0.365","0.384","0.316","72","232","93.2","9.6","2188","89.0","88.02","56","413","243","-1.0","5.88","112","155","112","151","294","321","297"
"653",669203,"Burnes, Corbin","0",,"0.251","0.095","0.342","0.346","0.260","0.229","0.212","58","231","87.0","7.8","2729","92.6","93.11","98","415","238","0.5","6.36","109","152","115","148","300","322","295"
"652",592826,"Velasquez, Vince","0",,"0.268","0.283","0.280","0.551","0.348","0.331","0.264","55","205","91.6","19.9","2273","90.1","90.50","97","446","206","0.4","6.51","109","151","114","147","299","324","293"
"651",596295,"Gomber, Austin","0",,"0.260","0.158","0.282","0.419","0.294","0.302","0.262","56","215","88.2","9.8","2074","86.1","85.80","65","406","245","-0.3","6.66","109","153","117","147","298","330","300"
"650",592761,"Smith, Caleb","0",,"0.227","0.222","0.261","0.449","0.285","0.290","0.234","45","198","86.5","23.0","2379","87.0","85.86","101","436","214","-1.1","5.66","107","152","118","149","304","327","299"
"648",502043,"Gibson, Kyle","0",,"0.247","0.127","0.259","0.375","0.265","0.298","0.272","64","259","90.1","8.6","2208","88.5","88.94","65","433","215","0.4","6.62","115","156","120","148","296","327","295"
"648",664141,"Brubaker, JT","0",,"0.276","0.236","0.285","0.512","0.333","0.334","0.280","68","246","89.8","12.3","2372","89.8","89.03","78","444","204","-0.8","5.87","111","152","118","148","301","320","291"
"647",593334,"Germán, Domingo","0",,"0.294","0.273","0.299","0.567","0.361","0.357","0.292","68","231","91.8","15.4","2459","87.7","87.33","89","431","216","-0.4","6.08","110","154","119","147","298","327","292"
"634",608331,"Fried, Max","0",,"0.315","0.183","0.343","0.498","0.346","0.335","0.292","69","219","87.4","5.1","2313","87.5","87.68","71","429","205","0.2","6.29","106","151","121","148","307","316","288"
"632",656954,"Sheffield, Justus","0",,"0.378","0.267","0.364","0.644","0.430","0.435","0.360","85","225","93.6","11.4","2120","88.1","86.96","47","425","207","-1.1","5.84","106","153","113","147","298","320","293"
"618",640470,"Alzolay, Adbert","0",,"0.233","0.286","0.216","0.519","0.318","0.352","0.277","49","210","91.6","11.9","2407","89.5","89.70","75","408","210","0.2","6.26","114","157","117","151","293","318","295"
