"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"364",650893,"Cabrera, Génesis","0",,"0.265","0.137","0.333","0.402","0.289","0.283","0.240","31","117","90.0","13.6","2220","92.7","90.95","46","245","119","-1.8","6.03","112","152","117","147","295","315","297"
"363",500779,"Quintana, José","0",,"0.310","0.257","0.350","0.566","0.367","0.330","0.273","35","113","90.9","15.7","2032","89.1","88.81","45","246","117","-0.3","6.54","110","154","117","150","306","325","299"
"360",676477,"Whitlock, Garrett","0",,"0.252","0.113","0.310","0.365","0.261","0.270","0.258","29","115","91.7","10.6","2048","91.8","92.13","54","235","125","0.3","7.26","111","154","120","147","293","325","295"
"356",608718,"Suter, Brent","0",,"0.296","0.184","0.323","0.480","0.331","0.286","0.255","37","125","85.3","4.1","2164","86.6","86.77","26","249","107","0.2","7.17","108","153","117","147","299","324","296"
"355",663474,"McKenzie, Triston","0",,"0.223","0.272","0.211","0.495","0.308","0.359","0.283","23","103","94.5","23.4","2195","89.2","90.20","49","236","119","1.0","6.84","114","155","119","149","294","321","296"
"354",656529,"Hentges, Sam","0",,"0.403","0.233","0.430","0.636","0.441","0.391","0.308","52","129","90.5","13.8","2235","89.2","89.87","23","227","127","0.7","6.71","112","152","115","149","295","321","289"
"353",656546,"Hoffman, Jeff","0",,"0.265","0.186","0.274","0.451","0.299","0.334","0.299","30","113","90.4","14.6","2324","88.8","89.02","44","236","117","0.2","6.49","111","154","114","147","296","318","288"
"351",605130,"Barlow, Scott","0",,"0.302","0.121","0.370","0.422","0.315","0.309","0.276","35","116","90.1","10.9","2359","87.9","88.86","43","219","132","1.0","6.75","108","157","115","145","296","321","300"
"350",660623,"Ynoa, Huascar","0",,"0.254","0.220","0.258","0.475","0.307","0.381","0.321","30","118","91.0","7.9","2289","91.1","90.88","32","219","131","-0.2","6.09","111","153","120","151","298","317","297"
"348",643338,"Green, Chad","0",,"0.200","0.150","0.233","0.350","0.233","0.300","0.238","24","120","91.5","26.9","2530","91.9","92.35","63","245","103","0.5","6.64","111","157","114","150","299","327","288"
"345",596133,"Weaver, Luke","0",,"0.231","0.194","0.259","0.426","0.274","0.334","0.286","25","108","92.0","14.7","2272","90.6","89.92","48","236","109","-0.7","5.94","112","154","119","151","308","332","304"
"344",666201,"Manoah, Alek","0",,"0.225","0.225","0.230","0.451","0.285","0.276","0.223","23","102","90.3","19.0","2264","89.9","90.43","54","242","102","0.5","6.59","109","154","120","147","293","315","291"
"342",592644,"Plutko, Adam","0",,"0.353","0.303","0.340","0.655","0.416","0.410","0.342","42","119","93.7","22.4","2369","88.9","88.52","54","260","82","-0.4","6.10","109","152","118","149","301","321","295"
"339",607536,"Freeland, Kyle","0",,"0.351","0.244","0.348","0.595","0.404","0.352","0.293","46","131","88.7","8.6","2211","87.7","88.57","27","230","109","0.9","6.56","108","152","117","145","294","327","300"
"339",606160,"Montero, Rafael","0",,"0.333","0.183","0.353","0.517","0.357","0.288","0.265","40","120","88.4","5.2","2213","92.8","92.83","42","240","99","0.0","6.23","109","153","115","147","295","324","296"
"338",641394,"Brentz, Jake","0",,"0.211","0.193","0.237","0.404","0.252","0.310","0.253","23","109","91.4","8.7","2188","93.5","93.27","49","219","119","-0.2","6.42","106","156","117","144","296","322","299"
"337",642528,"Loaisiga, Jonathan","0",,"0.228","0.089","0.283","0.317","0.238","0.200","0.188","28","123","86.7","0.0","2323","94.8","94.93","51","237","100","0.1","6.58","106","153","115","147","299","327","289"
"335",542585,"Cisnero, José","0",,"0.235","0.137","0.300","0.373","0.261","0.316","0.259","24","102","88.5","19.1","2391","94.1","93.76","49","216","119","-0.3","6.04","109","155","118","149","299","327","301"
"334",622065,"Young, Alex","0",,"0.358","0.312","0.326","0.670","0.430","0.385","0.322","39","109","90.7","10.3","2156","87.0","84.87","42","232","102","-2.1","5.78","110","152","118","149","301","327","301"
"334",643511,"Rogers, Tyler","0",,"0.246","0.074","0.259","0.320","0.249","0.235","0.238","30","122","87.1","2.1","2011","78.7","74.75","25","233","101","-4.0","5.88","111","150","112","149","295","319","291"
"332",608328,"De Jong, Chase","0",,"0.330","0.304","0.326","0.634","0.406","0.408","0.321","37","112","91.6","16.3","2467","87.4","86.74","31","231","101","-0.7","5.81","112","152","119","148","299","322","295"
"331",573204,"Thielbar, Caleb","0",,"0.289","0.206","0.381","0.495","0.336","0.314","0.248","28","97","91.2","24.8","2362","84.8","84.72","55","228","103","-0.1","6.23","106","154","116","148","301","329","293"
"331",542882,"Andriese, Matt","0",,"0.370","0.235","0.400","0.605","0.411","0.377","0.328","44","119","92.3","12.3","2343","88.7","87.10","32","231","100","-1.6","5.87","109","153","120","146","291","326","299"
"331",669330,"Wells, Tyler","0",,"0.248","0.210","0.282","0.457","0.306","0.337","0.276","26","105","90.9","25.3","2406","92.2","92.03","63","243","88","-0.2","6.24","111","155","121","150","301","321","296"
"330",666200,"Luzardo, Jesús","0",,"0.325","0.325","0.308","0.650","0.412","0.352","0.272","39","120","88.7","14.2","2302","91.6","88.70","44","222","108","-2.9","5.69","109","149","121","151","300","324","295"
"329",570663,"Robles, Hansel","0",,"0.245","0.214","0.278","0.459","0.297","0.329","0.276","24","98","93.2","10.1","2082","93.6","91.42","42","233","96","-2.2","6.09","107","157","114","149","302","331","297"
"329",668678,"Gallen, Zac","0",,"0.261","0.168","0.297","0.429","0.291","0.271","0.239","31","119","89.5","14.6","2255","90.8","91.24","34","209","120","0.4","6.65","108","152","114","150","303","330","300"
"328",543766,"Shaw, Bryan","0",,"0.207","0.130","0.222","0.337","0.237","0.257","0.241","19","92","87.6","5.7","2360","91.5","90.58","46","226","102","-0.9","5.74","112","153","118","150","292","319","294"
"328",641302,"Alexander, Tyler","0",,"0.311","0.193","0.341","0.504","0.345","0.314","0.262","37","119","90.4","17.3","2198","87.6","86.96","42","227","101","-0.6","6.27","108","155","119","149","295","323","300"
"327",664192,"Lucchesi, Joey","0",,"0.283","0.208","0.317","0.491","0.321","0.308","0.260","30","106","90.2","13.8","2179","87.0","87.01","39","223","104","0.0","6.46","113","152","110","149","299","324","298"
"327",663986,"Stephan, Trevor","0",,"0.290","0.320","0.294","0.610","0.381","0.385","0.295","29","100","90.0","20.8","2403","91.3","91.96","59","224","103","0.7","6.57","110","152","121","148","294","320","293"
"327",502624,"Anderson, Chase","0",,"0.320","0.301","0.325","0.621","0.394","0.394","0.320","33","103","89.8","15.7","2157","86.7","85.88","44","219","108","-0.8","5.86","112","150","114","149","296","324","294"
"326",606149,"Gallegos, Giovanny","0",,"0.170","0.150","0.169","0.320","0.203","0.303","0.261","17","100","89.4","22.8","2358","90.3","88.81","50","230","96","-1.5","5.74","116","156","117","148","299","320","302"
"326",664208,"Maton, Phil","0",,"0.303","0.263","0.371","0.566","0.358","0.312","0.258","30","99","90.6","14.9","2622","86.9","88.47","59","216","110","1.6","7.08","112","154","119","149","292","319","292"
"325",641941,"Pagán, Emilio","0",,"0.225","0.235","0.257","0.461","0.299","0.313","0.232","23","102","91.9","28.4","2457","92.1","92.69","62","239","86","0.6","6.65","115","154","141","145","299","322","312"
"323",664854,"Helsley, Ryan","0",,"0.250","0.130","0.274","0.380","0.268","0.319","0.274","25","100","92.2","13.1","2480","93.1","93.11","41","220","103","0.0","6.49","111","153","117","147","299","319","297"
"321",433589,"Petit, Yusmeiro","0",,"0.237","0.153","0.229","0.389","0.262","0.307","0.259","31","131","87.1","24.2","2035","83.5","84.40","44","241","80","0.9","7.11","109","149","120","152","302","327","301"
"320",677976,"Dobnak, Randy","0",,"0.369","0.319","0.333","0.688","0.443","0.454","0.375","52","141","95.1","3.5","2051","89.5","88.44","14","220","100","-1.1","5.60","107","156","117","149","300","329","296"
"319",663423,"Thornton, Trent","0",,"0.324","0.353","0.333","0.676","0.416","0.395","0.305","33","102","93.5","14.1","2508","88.6","88.07","45","227","92","-0.5","6.03","107","154","119","148","295","315","285"
"318",622503,"Crismatt, Nabil","0",,"0.319","0.129","0.340","0.448","0.334","0.317","0.298","37","116","88.2","8.2","1917","82.0","82.98","29","206","112","1.0","7.05","113","154","124","146","299","322","309"
"318",493603,"Ottavino, Adam","0",,"0.227","0.062","0.306","0.289","0.228","0.250","0.241","22","97","84.5","7.0","2585","87.4","88.26","34","180","138","0.9","6.93","111","152","118","146","289","325","297"
"317",519043,"Moore, Matt","0",,"0.343","0.304","0.346","0.647","0.414","0.385","0.311","35","102","90.6","17.5","2179","88.5","88.31","35","222","95","-0.2","6.21","108","152","114","147","295","323","291"
"317",502239,"Cahill, Trevor","0",,"0.320","0.190","0.333","0.510","0.350","0.347","0.301","32","100","88.8","7.6","2184","85.0","84.24","30","202","115","-0.8","6.11","110","150","118","147","298","321","287"
"317",640448,"Finnegan, Kyle","0",,"0.275","0.167","0.338","0.441","0.309","0.259","0.228","28","102","90.2","10.3","2027","93.4","94.15","43","209","108","0.7","6.67","109","153","119","146","303","319","297"
"317",518813,"Holland, Greg","0",,"0.304","0.294","0.299","0.598","0.380","0.395","0.312","31","102","92.4","14.5","2184","87.5","87.35","45","213","104","-0.1","6.06","107","155","116","144","297","321","298"
"317",642397,"Soto, Gregory","0",,"0.263","0.141","0.315","0.404","0.289","0.253","0.233","26","99","87.2","10.5","2392","94.3","94.44","44","204","113","0.1","6.75","109","153","116","149","298","327","303"
"316",675916,"Karinchak, James","0",,"0.154","0.154","0.229","0.308","0.202","0.212","0.163","14","91","91.7","24.4","2361","92.5","91.99","64","213","103","-0.5","5.97","114","154","118","150","292","320","296"
"316",667463,"King, John","0",,"0.261","0.118","0.280","0.378","0.274","0.281","0.255","31","119","89.8","-3.2","1978","88.9","87.56","38","216","100","-1.3","5.97","114","155","121","148","297","326","294"
"315",670280,"Bednar, David","0",,"0.219","0.198","0.229","0.417","0.265","0.277","0.240","21","96","89.2","14.7","2129","92.1","92.40","48","234","81","0.3","6.64","110","153","122","148","303","323","293"
"315",642152,"Trivino, Lou","0",,"0.209","0.078","0.256","0.287","0.218","0.251","0.221","24","115","88.7","11.2","2094","93.7","91.54","38","224","91","-2.2","6.63","110","149","118","151","302","327","301"
"315",605280,"Holmes, Clay","0",,"0.248","0.086","0.286","0.333","0.255","0.260","0.241","26","105","86.9","-10.5","2356","91.5","91.29","38","194","121","-0.2","6.12","107","150","118","147","299","320","287"
"314",521230,"Hendriks, Liam","0",,"0.244","0.233","0.262","0.478","0.304","0.275","0.212","22","90","89.9","20.3","2355","95.6","96.43","57","244","70","0.8","6.78","117","151","116","151","299","319","294"
"311",518617,"Diekman, Jake","0",,"0.267","0.267","0.277","0.533","0.340","0.369","0.293","24","90","92.2","16.7","2353","92.0","87.21","48","206","105","-4.8","6.39","110","149","119","151","302","328","303"
"311",614179,"Ruiz, José","0",,"0.243","0.196","0.265","0.439","0.288","0.308","0.262","26","107","92.8","19.0","2313","93.4","92.99","42","220","91","-0.4","6.05","115","151","119","149","296","318","293"
"310",571670,"Floro, Dylan","0",,"0.235","0.049","0.312","0.284","0.230","0.236","0.216","24","102","87.7","11.5","2103","91.0","90.78","38","216","94","-0.2","6.30","108","148","113","148","300","320","291"
"308",459429,"McGee, Jake","0",,"0.222","0.185","0.268","0.407","0.266","0.283","0.232","24","108","92.6","20.5","2205","93.9","91.98","41","226","82","-1.9","6.13","112","154","116","149","298","322","291"
"308",518553,"Cishek, Steve","0",,"0.235","0.049","0.286","0.284","0.224","0.240","0.218","24","102","86.1","10.8","2350","85.1","86.80","22","185","123","1.7","7.53","110","154","118","148","302","325","298"
"308",448855,"Guerra, Junior","0",,"0.250","0.120","0.256","0.370","0.280","0.273","0.239","25","100","88.7","12.7","2259","88.7","88.49","37","194","114","-0.2","6.44","115","157","120","150","303","324","298"
"305",656629,"Kopech, Michael","0",,"0.172","0.129","0.236","0.301","0.200","0.211","0.182","16","93","86.6","19.3","2495","92.6","93.07","62","200","105","0.5","6.54","113","152","117","150","297","319","294"
"304",502202,"Boxberger, Brad","0",,"0.160","0.096","0.213","0.255","0.175","0.219","0.196","15","94","87.2","19.0","2224","90.4","82.32","65","210","94","-8.1","5.61","109","155","118","148","300","325","299"
"304",598264,"Barnes, Matt","0",,"0.226","0.167","0.288","0.393","0.263","0.245","0.204","19","84","89.8","18.1","2237","91.7","92.47","41","188","116","0.8","6.77","110","155","119","147","295","328","297"
"304",628452,"Iglesias, Raisel","0",,"0.211","0.274","0.226","0.484","0.294","0.256","0.198","20","95","88.9","15.5","2317","91.7","90.02","75","210","94","-1.7","6.04","115","157","118","151","303","326","299"
"303",659275,"Lamet, Dinelson","0",,"0.304","0.186","0.342","0.490","0.335","0.322","0.275","31","102","90.3","15.8","2450","90.8","90.32","37","209","94","-0.5","5.93","115","155","129","144","295","325","315"
"302",622251,"Staumont, Josh","0",,"0.274","0.200","0.314","0.474","0.321","0.329","0.272","26","95","94.6","18.3","2367","92.5","93.06","38","193","109","0.6","6.68","108","157","118","146","298","322","300"
"299",657612,"Hill, Tim","0",,"0.207","0.161","0.231","0.368","0.245","0.277","0.248","18","87","90.0","1.1","2181","90.6","90.11","43","186","113","-0.5","6.78","115","150","117","147","294","318","309"
"299",605488,"Springs, Jeffrey","0",,"0.239","0.293","0.278","0.533","0.315","0.279","0.220","22","92","87.1","14.7","2155","87.7","87.72","49","185","114","0.0","6.56","107","158","116","149","300","318","293"
"298",643256,"Cimber, Adam","0",,"0.240","0.067","0.291","0.308","0.241","0.273","0.262","25","104","88.3","7.3","2237","84.5","83.64","32","204","94","-0.9","6.35","107","149","117","148","294","312","287"
"297",621237,"Alvarado, José","0",,"0.277","0.157","0.317","0.434","0.309","0.304","0.267","23","83","90.0","2.1","2106","98.8","99.74","29","167","130","0.9","6.85","107","150","112","145","297","322","290"
"296",642121,"Sulser, Cole","0",,"0.247","0.169","0.286","0.416","0.278","0.276","0.242","19","77","90.5","18.6","2126","89.5","89.84","51","204","92","0.3","6.71","110","152","116","148","297","321","298"
"295",622253,"Tate, Dillon","0",,"0.291","0.194","0.306","0.485","0.327","0.289","0.255","30","103","89.1","4.6","2050","91.2","91.11","35","190","105","-0.1","6.20","108","153","120","147","300","319","293"
"295",608723,"Voth, Austin","0",,"0.250","0.202","0.266","0.452","0.297","0.364","0.308","26","104","87.8","11.2","2447","90.8","90.55","43","213","82","-0.3","6.19","110","153","119","148","305","323","297"
"294",676051,"Heuer, Codi","0",,"0.366","0.178","0.405","0.545","0.386","0.348","0.322","37","101","90.2","11.4","2285","93.1","94.50","40","214","80","1.4","7.15","109","149","114","148","298","319","293"
"294",605242,"Fulmer, Michael","0",,"0.293","0.192","0.304","0.485","0.331","0.334","0.294","29","99","89.3","13.4","2195","92.8","93.38","43","201","93","0.6","6.61","110","154","118","150","298","328","301"
"292",622092,"Zimmer, Kyle","0",,"0.209","0.186","0.215","0.395","0.254","0.275","0.213","18","86","90.7","9.6","2185","88.5","88.17","40","189","103","-0.3","6.17","107","158","117","146","300","322","303"
"289",612434,"Castro, Miguel","0",,"0.202","0.236","0.197","0.438","0.268","0.332","0.258","18","89","89.8","6.1","2414","93.1","93.49","44","176","113","0.4","6.65","111","151","111","149","300","328","300"
"289",554340,"García, Yimi","0",,"0.244","0.178","0.271","0.422","0.276","0.346","0.279","22","90","92.5","15.8","2521","91.9","90.93","47","204","85","-1.0","5.86","107","150","119","147","304","320","289"
"288",676684,"Vest, Will","0",,"0.313","0.156","0.377","0.469","0.327","0.323","0.309","30","96","91.0","10.9","1988","90.5","89.64","43","206","82","-0.9","5.95","108","152","114","147","296","323","296"
"287",624522,"Thompson, Keegan","0",,"0.242","0.165","0.254","0.407","0.278","0.347","0.290","22","91","92.3","11.5","2464","90.7","90.71","32","197","90","0.0","6.20","107","155","114","149","295","321","298"
"287",641755,"Kinley, Tyler","0",,"0.262","0.282","0.253","0.544","0.333","0.307","0.256","27","103","89.0","17.4","2473","92.3","90.78","42","207","80","-1.5","5.54","110","150","118","146","299","329","302"
"287",621345,"Minter, A.J.","0",,"0.263","0.158","0.315","0.421","0.296","0.258","0.219","25","95","86.8","13.2","2374","91.7","91.71","47","193","94","0.0","6.16","106","151","121","148","301","317","290"
"287",621052,"Reyes, Alex","0",,"0.187","0.055","0.232","0.242","0.189","0.243","0.214","17","91","87.4","17.6","2458","92.5","91.14","39","182","105","-1.4","6.07","114","155","117","148","299","322","304"
"286",456034,"Price, David","0",,"0.387","0.172","0.446","0.559","0.402","0.301","0.291","36","93","88.1","5.8","1955","91.1","90.76","39","198","88","-0.3","6.07","108","154","113","151","299","319","292"
"286",547001,"Poteet, Cody","0",,"0.247","0.269","0.250","0.516","0.320","0.329","0.264","23","93","91.6","18.7","2506","89.3","88.47","32","194","92","-0.8","5.75","109","152","120","147","295","317","283"
"286",592773,"Stanek, Ryne","0",,"0.200","0.211","0.203","0.411","0.257","0.316","0.238","18","90","92.9","21.3","1987","93.8","92.86","54","203","83","-0.9","6.11","115","156","118","151","292","325","294"
"285",519326,"Strickland, Hunter","0",,"0.250","0.190","0.276","0.440","0.292","0.314","0.256","25","100","89.4","17.9","2500","90.8","90.39","43","211","74","-0.4","6.13","108","153","118","147","300","322","296"
"285",593576,"Neris, Héctor","0",,"0.264","0.264","0.279","0.529","0.337","0.311","0.244","23","87","92.0","14.8","1887","90.0","89.79","54","198","87","-0.2","6.22","112","149","115","147","296","324","294"
"283",429722,"Santana, Ervin","0",,"0.291","0.359","0.250","0.650","0.398","0.466","0.340","30","103","93.1","16.5","2231","88.2","87.95","18","187","96","-0.2","5.97","109","158","118","146","298","324","302"
"283",621348,"Clay, Sam","0",,"0.327","0.129","0.341","0.455","0.337","0.330","0.309","33","101","90.0","2.6","2069","90.3","89.43","27","184","99","-0.9","5.72","109","151","117","147","298","318","297"
"282",543507,"May, Trevor","0",,"0.276","0.253","0.305","0.529","0.343","0.305","0.249","24","87","89.3","13.4","2254","92.3","93.40","52","210","72","1.1","7.00","114","153","115","148","302","329","301"
"281",573124,"Rogers, Taylor","0",,"0.240","0.120","0.333","0.360","0.254","0.251","0.230","24","100","89.2","5.1","2269","90.6","89.63","37","175","106","-1.0","5.62","104","155","112","148","300","328","295"
"281",448281,"Doolittle, Sean","0",,"0.278","0.258","0.319","0.536","0.339","0.296","0.238","27","97","89.4","26.5","2278","91.3","91.08","45","207","74","-0.2","6.10","113","153","117","147","291","317","291"
"280",641743,"Kay, Anthony","0",,"0.292","0.270","0.323","0.562","0.359","0.342","0.295","26","89","88.9","8.0","2336","91.3","90.58","37","201","79","-0.7","5.82","104","153","118","147","291","314","288"
"279",605538,"Wisler, Matt","0",,"0.256","0.278","0.279","0.533","0.334","0.269","0.217","23","90","90.3","24.3","2490","82.7","81.70","38","167","112","-1.0","5.87","112","159","117","150","296","319","294"
"279",622088,"Antone, Tejay","0",,"0.186","0.116","0.236","0.302","0.214","0.260","0.219","16","86","90.6","11.5","2846","86.6","86.75","39","150","129","0.1","6.46","109","154","116","148","298","321","292"
"279",476595,"Luetge, Lucas","0",,"0.291","0.209","0.325","0.500","0.339","0.309","0.276","32","110","87.9","15.8","2642","85.7","85.31","40","210","69","-0.4","6.33","108","153","118","147","298","325","287"
"278",543272,"Hand, Brad","0",,"0.196","0.174","0.209","0.370","0.241","0.300","0.253","18","92","89.5","14.3","2361","87.8","86.52","28","168","110","-1.3","5.56","109","155","117","148","307","324","296"
"278",458708,"Tomlin, Josh","0",,"0.371","0.299","0.363","0.670","0.440","0.424","0.357","36","97","90.7","18.0","2516","84.4","83.45","29","196","82","-0.9","5.72","108","150","125","148","302","320","292"
"277",596001,"Junis, Jakob","0",,"0.327","0.240","0.341","0.567","0.372","0.399","0.329","34","104","93.2","12.6","2326","87.1","86.45","36","182","95","-0.6","5.74","108","157","112","147","295","320","302"
"277",656945,"Scott, Tanner","0",,"0.227","0.102","0.269","0.330","0.234","0.288","0.257","20","88","90.5","10.5","2618","92.8","92.66","42","171","106","-0.1","6.13","109","151","118","149","301","322","296"
"277",643316,"Fry, Paul","0",,"0.250","0.012","0.333","0.262","0.223","0.254","0.257","21","84","88.1","9.0","2474","90.7","90.54","30","168","109","-0.2","6.19","109","154","119","149","302","324","298"
"276",621242,"Díaz, Edwin","0",,"0.244","0.073","0.333","0.317","0.244","0.240","0.216","20","82","89.0","13.5","2292","95.9","97.54","52","195","81","1.6","7.18","116","155","113","150","305","332","307"
"274",650382,"Hernandez, Darwinzon","0",,"0.181","0.060","0.259","0.241","0.184","0.234","0.222","15","83","85.1","13.6","2371","92.5","91.04","51","173","101","-1.5","6.78","110","156","119","148","292","326","298"
"273",641927,"Ober, Bailey","0",,"0.271","0.306","0.239","0.576","0.350","0.338","0.273","23","85","89.3","21.6","2164","86.9","88.69","18","180","93","1.8","7.33","107","160","115","150","297","330","293"
"273",595928,"Curtiss, John","0",,"0.281","0.167","0.320","0.448","0.315","0.327","0.295","27","96","93.7","16.2","2428","91.5","91.45","35","179","94","-0.1","6.45","108","150","117","147","296","317","291"
"273",593144,"Rodríguez, Richard","0",,"0.232","0.084","0.250","0.316","0.241","0.281","0.237","22","95","91.6","26.0","2526","92.3","92.99","27","198","75","0.7","6.85","108","152","117","148","302","322","293"
"273",547973,"Chapman, Aroldis","0",,"0.235","0.235","0.350","0.469","0.310","0.301","0.216","19","81","87.5","9.4","2314","94.9","96.40","58","177","96","1.5","7.20","110","153","117","149","302","328","287"
"272",660761,"Suarez, José","0",,"0.225","0.175","0.238","0.400","0.272","0.303","0.267","18","80","91.2","13.9","2161","87.5","87.44","43","175","97","-0.1","6.22","113","154","114","152","300","325","295"
"272",572193,"Tepera, Ryan","0",,"0.188","0.146","0.200","0.333","0.214","0.272","0.217","18","96","87.9","10.6","2185","89.8","90.07","41","191","81","0.3","6.39","111","154","114","149","296","319","296"
"272",446321,"Detwiler, Ross","0",,"0.250","0.217","0.268","0.467","0.293","0.285","0.246","23","92","87.6","18.0","2066","88.1","86.47","30","167","105","-1.6","5.49","105","149","118","148","299","317","289"
"272",468504,"Chacín, Jhoulys","0",,"0.289","0.278","0.272","0.567","0.359","0.329","0.280","28","97","88.3","8.5","2285","87.4","86.85","20","183","89","-0.5","5.92","109","150","119","144","299","329","301"
"270",642207,"Williams, Devin","0",,"0.235","0.221","0.293","0.456","0.291","0.277","0.226","16","68","88.7","10.7","2627","87.8","86.32","59","176","94","-1.5","6.88","107","153","116","147","301","325","300"
"270",519293,"Smith, Will","0",,"0.284","0.216","0.328","0.500","0.328","0.306","0.268","25","88","91.4","21.6","2217","88.3","88.45","37","169","101","0.1","6.30","107","150","120","146","304","318","291"
"268",623352,"Hader, Josh","0",,"0.174","0.101","0.222","0.275","0.189","0.220","0.199","12","69","89.6","24.7","2123","92.7","87.57","59","195","73","-5.1","6.63","110","154","116","149","306","328","302"
"267",664948,"Misiewicz, Anthony","0",,"0.293","0.152","0.343","0.446","0.313","0.297","0.267","27","92","92.4","14.0","2491","89.3","88.80","40","194","73","-0.5","5.92","111","154","114","148","294","319","294"
"267",650496,"Mejia, J.C.","0",,"0.289","0.253","0.292","0.542","0.355","0.354","0.307","24","83","91.1","2.6","2182","90.0","89.95","28","182","85","-0.1","6.12","116","154","119","150","291","318","292"
"267",605447,"Romano, Jordan","0",,"0.221","0.105","0.281","0.326","0.245","0.231","0.199","19","86","90.2","8.4","2366","93.4","95.07","42","182","85","1.7","7.23","109","154","118","148","294","320","287"
"266",617228,"Sawamura, Hirokazu","0",,"0.261","0.273","0.262","0.534","0.338","0.394","0.310","23","88","92.6","11.4","1962","92.9","92.72","48","192","74","-0.2","6.31","109","153","119","147","294","326","296"
"266",543521,"McHugh, Collin","0",,"0.208","0.130","0.273","0.338","0.231","0.230","0.215","16","77","89.2","21.9","2610","83.7","83.64","47","171","95","-0.1","6.61","105","154","117","149","300","314","291"
"265",519151,"Pressly, Ryan","0",,"0.218","0.069","0.261","0.287","0.219","0.271","0.245","19","87","90.6","6.9","2755","90.6","90.34","31","180","85","-0.3","6.12","115","156","118","152","290","324","292"
"265",661403,"Clase, Emmanuel","0",,"0.333","0.097","0.358","0.430","0.331","0.310","0.295","31","93","88.9","1.8","2581","98.4","99.11","33","180","85","0.7","6.46","112","151","116","149","291","319","292"
"265",595014,"Treinen, Blake","0",,"0.276","0.126","0.288","0.402","0.293","0.263","0.250","24","87","86.0","6.1","2375","92.8","90.95","34","183","82","-1.8","5.58","112","156","114","151","300","317","291"
"264",650530,"Garcia, Bryan","0",,"0.278","0.258","0.267","0.536","0.344","0.430","0.327","27","97","94.0","17.8","2122","91.0","90.43","32","192","72","-0.6","5.97","108","152","121","148","300","327","299"
"264",641582,"Foster, Matt","0",,"0.295","0.244","0.321","0.538","0.353","0.341","0.271","23","78","90.5","24.4","2172","90.9","90.49","39","183","81","-0.4","6.04","113","149","119","149","299","320","294"
"263",592426,"Jackson, Luke","0",,"0.220","0.132","0.236","0.352","0.244","0.310","0.268","20","91","91.1","8.0","2331","90.6","91.25","31","186","77","0.7","6.63","107","149","122","146","301","317","291"
"263",491624,"Valdez, César","0",,"0.398","0.214","0.412","0.612","0.428","0.382","0.362","39","98","92.6","8.6","1859","79.5","78.29","35","181","82","-1.2","5.51","108","150","117","148","301","325","296"
"262",676969,"de Geus, Brett","0",,"0.330","0.191","0.342","0.521","0.359","0.327","0.291","31","94","90.8","-0.7","2181","90.5","89.39","17","165","97","-1.1","5.72","111","153","121","146","298","326","296"
"262",605177,"Chafin, Andrew","0",,"0.146","0.079","0.169","0.225","0.164","0.238","0.212","13","89","88.5","12.8","2183","90.3","90.50","33","180","82","0.2","6.72","111","156","116","151","294","321","299"
"262",622250,"Sborz, Josh","0",,"0.294","0.212","0.323","0.506","0.336","0.309","0.276","25","85","90.9","14.6","2295","92.1","91.28","46","193","69","-0.8","5.88","111","154","122","147","298","328","295"
"261",445276,"Jansen, Kenley","0",,"0.135","0.000","0.208","0.135","0.135","0.194","0.177","10","74","87.1","18.3","2610","91.9","92.11","51","176","85","0.2","7.21","111","156","113","151","300","316","289"
"261",608335,"Funkhouser, Kyle","0",,"0.217","0.065","0.250","0.283","0.220","0.265","0.251","20","92","90.1","-1.7","2119","92.9","93.21","31","168","93","0.3","6.56","107","152","115","146","298","324","299"
"261",656464,"Ginkel, Kevin","0",,"0.310","0.345","0.311","0.655","0.404","0.355","0.288","26","84","89.5","18.2","2343","91.3","86.18","24","175","86","-5.1","6.85","111","153","122","150","304","332","304"
"259",641401,"Brogdon, Connor","0",,"0.261","0.193","0.271","0.455","0.300","0.287","0.258","23","88","90.4","11.9","2178","91.6","92.75","57","207","52","1.2","7.06","111","151","113","147","296","323","294"
"259",554431,"Matzek, Tyler","0",,"0.241","0.108","0.300","0.349","0.254","0.256","0.235","20","83","87.4","7.3","2556","92.8","92.79","40","183","76","0.0","6.32","106","150","119","149","300","316","290"
"257",571521,"Brothers, Rex","0",,"0.232","0.174","0.289","0.406","0.267","0.306","0.265","16","69","93.0","17.1","2132","92.9","92.30","36","170","87","-0.6","5.97","113","155","116","150","294","319","298"
"257",670950,"Richards, Trevor","0",,"0.260","0.234","0.291","0.494","0.322","0.323","0.276","20","77","93.5","24.3","2211","89.9","88.15","41","176","81","-1.7","6.57","108","156","119","147","302","321","296"
"256",656548,"Holloway, Jordan","0",,"0.190","0.143","0.224","0.333","0.224","0.249","0.213","16","84","90.1","17.2","2223","89.1","88.78","29","156","100","-0.3","6.25","108","150","118","149","297","316","286"
